level,cluster_id,feature_name,cluster_mean,global_mean,deviation_pct,abs_deviation_pct,cluster_size
1,0,total_products_purchased,647.8299504950495,157.28939571017753,311.87134553479063,311.87134553479063,20200
1,0,total_orders,52.707029702970296,15.590367054784224,238.07433473348573,238.07433473348573,20200
1,0,unique_products,181.3540099009901,64.53623750660738,181.01112941767425,181.01112941767425,20200
1,0,unique_aisles,54.24965346534653,27.783700032491307,95.2571234281429,95.2571234281429,20200
1,0,dept_pct_babies,0.01665761622549445,0.008967169019383948,85.76226442800832,85.76226442800832,20200
1,0,reorder_rate,0.69810360670633,0.43224927158749954,61.50486596366975,61.50486596366975,20200
1,0,avg_products_per_aisle,3.3129637012115003,2.070646981589745,59.99654845404711,59.99654845404711,20200
1,0,unique_departments,15.152970297029704,10.827796070976534,39.945102380036715,39.945102380036715,20200
1,0,avg_basket_size,13.613419759078951,9.951586064751108,36.796483198775675,36.796483198775675,20200
1,0,dept_pct_bulk,0.001193735559666258,0.0009623169311968285,24.04806784201702,24.04806784201702,20200
1,1,dept_pct_produce,0.5481428950122079,0.27897390404229416,96.48536550182345,96.48536550182345,29456
1,1,dept_pct_bulk,0.0014930144901392974,0.0009623169311968285,55.14789792614822,55.14789792614822,29456
1,1,reorder_rate,0.4677751395137242,0.43224927158749954,8.218838124527226,8.218838124527226,29456
1,1,hour_consistency,3.8610508224639437,3.5884114032410763,7.597774853145816,7.597774853145816,29456
1,1,dept_pct_meat_seafood,0.02346015628549977,0.022272585542620623,5.3319842036597915,5.3319842036597915,29456
1,1,avg_days_between_orders,15.46868816134822,15.209435406812005,1.7045521257159926,1.7045521257159926,29456
1,1,frequency_consistency,7.436635995063439,7.397716402675973,0.5261027899553822,0.5261027899553822,29456
1,2,dept_pct_breakfast,0.03729780315110939,0.02161258545045461,72.57446239651468,72.57446239651468,32200
1,2,dept_pct_bakery,0.05875010174178773,0.03465675884744448,69.51989653850693,69.51989653850693,32200
1,2,dept_pct_frozen,0.12033986740972732,0.071254303704716,68.88785821053862,68.88785821053862,32200
1,2,dept_pct_deli,0.048922284893355275,0.030989727431604948,57.86613483880393,57.86613483880393,32200
1,2,dept_pct_dairy_eggs,0.2310924111403932,0.15630329104947957,47.848717444623915,47.848717444623915,32200
1,2,dept_pct_missing,0.0028995914491475516,0.0023477508370971117,23.505075723144707,23.505075723144707,32200
1,2,avg_days_between_orders,17.17435715713558,15.209435406812005,12.919097243041161,12.919097243041161,32200
1,2,product_exploration_rate,0.613211517938043,0.5677507284125339,8.007174143592946,8.007174143592946,32200
1,2,preferred_day_of_week,2.1604037267080747,2.0771207852227596,4.009537725384781,4.009537725384781,32200
1,2,dept_pct_snacks,0.09206106294665975,0.089089745395239,3.3351959175983144,3.3351959175983144,32200
1,3,dept_pct_international,0.015788217993759374,0.008016383577237395,96.94938299347581,96.94938299347581,46541
1,3,dept_pct_canned_goods,0.058618733662891095,0.032230478311650095,81.87360763337679,81.87360763337679,46541
1,3,dept_pct_dry_goods_pasta,0.04333739378991282,0.025156614043388075,72.27037674930345,72.27037674930345,46541
1,3,dept_pct_pantry,0.09478418276735824,0.06068342885544112,56.19450738874904,56.19450738874904,46541
1,3,dept_pct_meat_seafood,0.03157239578507403,0.022272585542620623,41.75451576853245,41.75451576853245,46541
1,3,product_exploration_rate,0.7760530361100796,0.5677507284125339,36.689042791714556,36.689042791714556,46541
1,3,avg_days_between_orders,19.03956464029292,15.209435406812005,25.182586539441658,25.182586539441658,46541
1,3,frequency_consistency,8.167034437558886,7.397716402675973,10.399398855093006,10.399398855093006,46541
1,3,avg_basket_size,10.292997468824154,9.951586064751108,3.430723523382248,3.430723523382248,46541
1,3,day_consistency,1.8934802279670206,1.8801590894680629,0.7085112410741055,0.7085112410741055,46541
1,4,dept_pct_pets,0.03229652771691293,0.003263264849710491,889.6998620807074,889.6998620807074,7598
1,4,dept_pct_personal_care,0.13329953308768394,0.017010392158749745,683.6358612056913,683.6358612056913,7598
1,4,dept_pct_household,0.22771757868100298,0.029298901188258005,677.2222487724706,677.2222487724706,7598
1,4,dept_pct_other,0.009183635534360461,0.0013609678402277338,574.7871083290067,574.7871083290067,7598
1,4,dept_pct_babies,0.021033591246523924,0.008967169019383948,134.56222583801537,134.56222583801537,7598
1,4,dept_pct_beverages,0.1270650434765379,0.09682108865015558,31.236949767899276,31.236949767899276,7598
1,4,dept_pct_missing,0.0030797809007257577,0.0023477508370971117,31.1800576135144,31.1800576135144,7598
1,4,product_exploration_rate,0.7105764850425774,0.5677507284125339,25.156419795249423,25.156419795249423,7598
1,4,avg_days_between_orders,18.537350075529464,15.209435406812005,21.880593064138008,21.880593064138008,7598
1,4,dept_pct_alcohol,0.009960862370375106,0.008728342273681565,14.120895561233201,14.120895561233201,7598
1,5,dept_pct_babies,0.013374314783333941,0.008967169019383948,49.147571038565836,49.147571038565836,54696
1,5,unique_products,95.4985373701916,64.53623750660738,47.97661137343841,47.97661137343841,54696
1,5,unique_aisles,40.0144251864853,27.783700032491307,44.021225177679426,44.021225177679426,54696
1,5,avg_basket_size,13.488368833575267,9.951586064751108,35.539890282932646,35.539890282932646,54696
1,5,total_products_purchased,212.69390814684803,157.28939571017753,35.22456945461169,35.22456945461169,54696
1,5,unique_departments,13.823442299254058,10.827796070976534,27.666260138637366,27.666260138637366,54696
1,5,dept_pct_dry_goods_pasta,0.030829942510711836,0.025156614043388075,22.552035252195974,22.552035252195974,54696
1,5,reorder_rate,0.5194640287529247,0.43224927158749954,20.176958736128363,20.176958736128363,54696
